PID, Duty, Conference, Year, City, State, Country
pzcJtf4AAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
YVwFzwEAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
SGay8u4AAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
PHJokEQAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
Kv9AbjMAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
NrgcBX8AAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
lNQmMTMAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
J08pnbAAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
1KdkcSoAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
ot2J_RUAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
RLChs4QAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
dliZB7MAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
slVcOQIAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
Kr6jppsAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
f0Wc8tkAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
3wnvM4wAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
C6Pd5zoAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
0gGww7sAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
FmSpTXQAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
bojNjiYAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
wUkamYwAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
EVNolAkAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
vJUjFpQAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
80pKMyMAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
dZqFyeMAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
dqgckDgAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
wJdbXnYAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
PTwcvk4AAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
NKYtfsYAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
ppei17sAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
lBF-mDAAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
a-p1NYUAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
Pqf21y0AAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
rd7fZnQAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
bkcNcHYAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
9Q8DH5sAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
JaAonb0AAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
4k0lzWwAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
2mjUsP8AAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
fhxshS0AAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
XGzPuKEAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
