PID, Name, Affiliation
pU0dce0AAAAJ,Foto Afrati,Professor of Computer Science;National Technical University of Athens
gC5ucdsAAAAJ,Sameer Agarwal,PhD;UC Berkeley
ww87pkcAAAAJ,Chadi Barakat,Research Scientist; Inria Sophia Antipolis; France
fkNjVcIAAAAJ,Gustavo Alonso,Professor of Computer Science;ETH Zürich; Switzerland
2eUL7eEAAAAJ,Aijun An,Professor of Computer Science;York University
qtfHsnoAAAAJ,Aruna Balasubramanian,Stony Brook University
usr3H7gAAAAJ,Denilson Barbosa,Associate Professor of Computing Science;University of Alberta
e7Qs3JgAAAAJ,Srikanta Bedathur,IBM Research
dDBGgkEAAAAJ,Michael Böhlen,Professor of Computer Science;University of Zurich
R1Jt75cAAAAJ,Francesco Bonchi,Research Leader at the ISI Foundation
DCIZE1kAAAAJ,Peter Boncz,Professor; VU University Amsterdam &CWI
2mZrp18AAAAJ,Mohamed ZERGAOUI,CTO of Innovimax
9DbfdoYAAAAJ,*,*
S9zyMRgAAAAJ,Philippe Bonnet,IT University of Copenhagen
rPn2SMoAAAAJ,Stephane Bressan,National University of Singapore
0s4q-8oAAAAJ,Nicholas C. Bruno,Georgia Institute of Technology
On163UsAAAAJ,Alok Chakrabarti,New Jersey Institute of Technology
yB17meAAAAAJ,Badrish Chandramouli,Microsoft Research
sugWZ6MAAAAJ,Kevin Chen-Chuan Chang,University of Illinois at Urbana-Champaign
mGPuiasAAAAJ,Shimin Chen,Institute of Computing Technology; Chinese Academy of Sciences
o-I3jsgAAAAJ,Shih-Chin (James) Cheng 鄭世進,National Tsing Hua University; Institute of Molecular Medicine
k2cCwvsAAAAJ,Olivia S Cheung,New York University Abu Dhabi
gbH5eZQAAAAJ,Fei Chiang,McMaster University
V6f0Ao4AAAAJ,Jesús Camacho-Rodríguez,Member of Technical Staff at Hortonworks
LNgp00MAAAAJ,Bevil R Conway,NIH
AGN14uwAAAAJ,Bret Cooper,Soybean Genomics and Improvement Laboratory; USDA-ARS; Beltsville; MD
JUkPW-cAAAAJ,Vinay Setty,Associate Professor;University of Stavanger
pzcJtf4AAAAJ,Christopher Douglas,Associate Professor of Economics;University of Michigan-Flint
YVwFzwEAAAAJ,Tim Furche,Lecturer Oxford University; Senior research manager Meltwater
SGay8u4AAAAJ,Floris Geerts,University of Antwerp
PHJokEQAAAAJ,Dimitrios Gunopulos,National and Kapodistrian University of Athens
Kv9AbjMAAAAJ,Jiawei Han,Abel Bliss Professor of Computer Science;University of Illinois
NrgcBX8AAAAJ,Carmem Hara,Professor of Computer Science;Federal University of Parana; Brazil
lNQmMTMAAAAJ,Ruoming Jin,Associate Professor of Computer Science;Kent State University
J08pnbAAAAAJ,Eser Kandogan,IBM Research
1KdkcSoAAAAJ,Asterios Katsifodimos,Assistant Professor atTU Delft
ot2J_RUAAAAJ,Georgios Kellaris,TandemLaunch
RLChs4QAAAAJ,Anastasios Kementsietsidis,Google Research
dliZB7MAAAAJ,Alexander F. Kemper,North Carolina State University
slVcOQIAAAAJ,Eamonn Keogh,Professor of Computer Science;University of California - Riverside
Kr6jppsAAAAJ,Martin Kersten,Research Fellow;CWI; Amsterdam
f0Wc8tkAAAAJ,Nick Koudas,Professor of Computer Science;University of Toronto
3wnvM4wAAAAJ,Hongrae Lee,Research Scientist; Google Research
C6Pd5zoAAAAJ,Sorin Lerner,Associate Professor; CSE Dept;UC San Diego
0gGww7sAAAAJ,Yunyao Li,Research Staff Member; IBM Research - Almaden
FmSpTXQAAAAJ,Erietta Liarou,Postdoctoral Researcher atEPFL
bojNjiYAAAAJ,Ahmed Mohammed AlShammari,PhD Candidate; Faculty of Science; Engineering and Technology;Swinburne University; Australia
wUkamYwAAAAJ,Guy Lohman,Manager of Disruptive Information Management Architectures; IBM Almaden Research Center
EVNolAkAAAAJ,Jiaheng Lu,Associate Professor ofUniversity of Helsinki; Finland
vJUjFpQAAAAJ,Shuai Ma,Professor atBeihang University; Beijing; China
80pKMyMAAAAJ,David Maier,Professor of Computer Science;Portland State University
dZqFyeMAAAAJ,Silviu Maniu,LRI; Université Paris-Sud; Université Paris-Saclay
dqgckDgAAAAJ,Essam Mansour,Senior Research Engineer; Qatar Computing Research Institute; Hamad bin Khalifa University
